buy,histogram,sell,time,volume
0,0.16284642869258398,0,1520,55268.0
0,0.15750156128132214,0,1525,36010.0
0,0.1509921951066987,0,1530,58915.0
0,0.13926463394644378,0,1535,105610.0
0,0.12992605261124768,0,1540,39542.0
0,0.12144218388051264,0,1545,46784.0
0,0.11474964511757058,0,1550,86225.0
0,0.11042025222870196,0,1555,150233.0
0,0.10647680727819069,0,1600,26851.0
0,0.111007396234978,0,930,358224.0
0,0.10961460027315571,0,935,146229.0
0,0.10830493489527705,0,940,138885.0
0,0.1023839214291907,0,945,101768.0
0,0.09586306872460454,0,950,77372.0
0,0.09070747007456052,0,955,124044.0
0,0.08470031744966339,0,1000,26427.0
0,0.08248622889661052,0,1005,116116.0
0,0.08449232654845079,0,1010,152627.0
0,0.08758586200479089,0,1015,172274.0
0,0.08769289297243603,0,1020,188113.0
0,0.08140488749801161,0,1025,82734.0
0,0.08074467797756799,0,1030,69195.0
0,0.08014620440221065,0,1035,65495.0
0,0.07654293162645448,0,1040,47626.0
0,0.07713400828669095,0,1045,67408.0
0,0.07839764154076906,0,1050,138954.0
0,0.07491938661500551,0,1055,85992.0
0,0.06908812017073043,0,1100,93396.0
0,0.06720809216665519,0,1105,63168.0
0,0.06561544086644186,0,1110,54655.0
0,0.0626421595242393,0,1115,46056.0
0,0.058520810632069334,0,1120,27566.0
0,0.055897498336448276,0,1125,42071.0
0,0.05231483360556248,0,1130,58057.0
0,0.04774290937097428,0,1135,45962.0
0,0.04277569134422214,0,1140,26895.0
0,0.04198382755297758,0,1145,123532.0
0,0.04410225685313873,0,1150,193185.0
0,0.04620930510532448,0,1155,110036.0
0,0.05620917530807448,0,1200,187072.0
0,0.06321272758389598,0,1205,130475.0
0,0.0657897911216293,0,1210,109038.0
0,0.07476652000429973,0,1215,112572.0
0,0.08294991857244272,0,1220,153109.0
0,0.08733091293480474,0,1225,155071.0
0,0.08947078686608653,0,1230,89941.0
0,0.09842969488610445,0,1235,185163.0
0,0.10186308513861783,0,1240,110483.0
0,0.10221848463067626,0,1245,126569.0
0,0.09914651424025972,0,1250,39274.0
0,0.09421246757728094,0,1255,64114.0
0,0.08732991402405882,0,1300,47172.0
0,0.08088343175151241,0,1305,55194.0
0,0.07383126975140172,0,1310,106871.0
0,0.0669278609400302,0,1315,72048.0
0,0.061215593774819416,0,1320,38427.0
0,0.053294822850168205,0,1325,51421.0
0,0.04967107417751404,0,1330,41666.0
0,0.04908357046434675,0,1335,52843.0
0,0.05247599031706188,0,1340,127480.0
0,0.05613650375751322,0,1345,119931.0
0,0.05937241744651384,0,1350,99881.0
0,0.05896024425744162,0,1355,88859.0
0,0.055466796168292976,0,1400,72134.0
0,0.051023521084650914,0,1405,72220.0
0,0.04723297634820084,0,1410,39098.0
0,0.04605095575438023,0,1415,109459.0
0,0.045444659103601626,0,1420,37013.0
0,0.039833059336945476,0,1425,102830.0
0,0.03776904549227711,0,1430,57595.0
0,0.035658408604171354,0,1435,46781.0
0,0.03514739734738764,0,1440,147776.0
0,0.03415419910745937,0,1445,36702.0
0,0.032554401924872134,0,1450,65900.0
